AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
"8,708",271,"4,412",202507,열무,"4,849",202506,   4키로상자,202505,상
"7,046",272,"3,498",202507,열무,"3,819",202506,   4키로상자,202505,중
"4,827",273,"2,390",202507,열무,"2,565",202506,   4키로상자,202505,하
"22,000",274,"22,173",202507,오렌지파프리카,"20,429",202506,   5키로상자,202505,상
"21,500",275,"20,437",202507,오렌지파프리카,"20,047",202506,   5키로상자,202505,중
"18,600",276,"17,777",202507,오렌지파프리카,"16,109",202506,   5키로상자,202505,하
"48,703",277,"38,495",202507,오이맛고추,"30,897",202506,  10키로상자,202505,상
"36,874",278,"31,170",202507,오이맛고추,"23,816",202506,  10키로상자,202505,중
"20,988",279,"16,946",202507,오이맛고추,"13,693",202506,  10키로상자,202505,하
"1,499",280,"1,591",202507,일반부추,955,202506, 500그람단,202505,상
"1,186",281,"1,318",202507,일반부추,795,202506, 500그람단,202505,중
917,282,993,202507,일반부추,596,202506, 500그람단,202505,하
"4,500",283,"4,500",202507,적겨자채,"4,500",202506,   2키로상자,202505,상
"4,019",284,"4,019",202507,적겨자채,"4,019",202506,   2키로상자,202505,중
"2,100",285,"2,100",202507,적겨자채,"2,100",202506,   2키로상자,202505,하
"4,700",286,"11,259",202507,적상추,"6,793",202506,   4키로상자,202505,상
"4,500",287,"9,769",202507,적상추,"6,000",202506,   4키로상자,202505,중
"3,509",288,"8,613",202507,적상추,"4,989",202506,   4키로상자,202505,하
"13,221",289,"18,833",202507,쥬키니호박,"12,963",202506,  10키로상자,202505,특
"11,549",290,"18,141",202507,쥬키니호박,"11,433",202506,  10키로상자,202505,상
"8,264",291,"16,381",202507,쥬키니호박,"8,847",202506,  10키로상자,202505,중
"5,133",292,"12,284",202507,쥬키니호박,"5,713",202506,  10키로상자,202505,하
"3,255",293,"4,006",202507,쪽파,"2,954",202506,   1키로단,202505,상
"2,805",294,"3,746",202507,쪽파,"2,648",202506,   1키로단,202505,중
"2,492",295,"3,271",202507,쪽파,"2,012",202506,   1키로단,202505,하
"11,964",296,"9,727",202507,쫑상추,"8,877",202506,   4키로상자,202505,특
"10,688",297,"8,175",202507,쫑상추,"6,977",202506,   4키로상자,202505,상
"8,372",298,"6,559",202507,쫑상추,"5,288",202506,   4키로상자,202505,중
"5,866",299,"4,605",202507,쫑상추,"3,540",202506,   4키로상자,202505,하
"15,452",300,"11,702",202507,참나물,"14,978",202506,   4키로,202505,상
"32,000",301,"32,000",202507,참다래 그린,"32,000",202506,  10키로상자,202505,특
"30,100",302,"30,100",202507,참다래 그린,"30,100",202506,  10키로상자,202505,상
"29,625",303,"29,625",202507,참다래 그린,"29,625",202506,  10키로상자,202505,중
"20,792",304,"20,792",202507,참다래 그린,"20,792",202506,  10키로상자,202505,하
"12,596",305,"19,016",202507,참외(일반),"17,205",202506,   5키로상자,202505,특
"11,441",306,"18,142",202507,참외(일반),"15,919",202506,   5키로상자,202505,상
"10,074",307,"16,552",202507,참외(일반),"14,634",202506,   5키로상자,202505,중
"7,613",308,"14,157",202507,참외(일반),"12,184",202506,   5키로상자,202505,하
"38,341",309,"44,064",202507,참외(일반),"45,054",202506,  10키로상자,202505,특
"28,553",310,"34,034",202507,참외(일반),"34,929",202506,  10키로상자,202505,상
"17,300",311,"25,814",202507,참외(일반),"26,082",202506,  10키로상자,202505,중
"9,697",312,"18,177",202507,참외(일반),"17,395",202506,  10키로상자,202505,하
"8,942",313,"4,237",202507,청경채,"4,544",202506,   4키로상자,202505,상
"19,365",314,"12,114",202507,청상추,"13,465",202506,   4키로상자,202505,상
"13,603",315,"9,727",202507,청상추,"10,391",202506,   4키로상자,202505,중
"9,174",316,"7,219",202507,청상추,"6,995",202506,   4키로상자,202505,하
"82,327",317,"34,251",202507,청양고추,"50,768",202506,  10키로상자,202505,특
"75,280",318,"30,214",202507,청양고추,"41,751",202506,  10키로상자,202505,상
"61,043",319,"26,386",202507,청양고추,"29,670",202506,  10키로상자,202505,중
"38,871",320,"18,967",202507,청양고추,"17,982",202506,  10키로상자,202505,하
"30,000",321,"52,222",202507,청피망,"53,547",202506,  10키로상자,202505,특
"28,000",322,"44,095",202507,청피망,"41,460",202506,  10키로상자,202505,상
"23,002",323,"31,854",202507,청피망,"24,318",202506,  10키로상자,202505,중
"18,514",324,"19,920",202507,청피망,"12,950",202506,  10키로상자,202505,하
"7,500",325,"15,688",202507,취나물,"7,724",202506,   4키로상자,202505,상
"7,500",326,"11,474",202507,취나물,"7,698",202506,   4키로상자,202505,중
"6,071",327,"7,739",202507,취나물,"6,282",202506,   4키로상자,202505,하
"26,277",328,"32,527",202507,취청오이,"22,135",202506,  10키로상자,202505,특
"24,297",329,"30,490",202507,취청오이,"20,987",202506,  10키로상자,202505,상
"19,117",330,"25,983",202507,취청오이,"16,658",202506,  10키로상자,202505,중
"10,450",331,"16,181",202507,취청오이,"9,980",202506,  10키로상자,202505,하
"10,544",332,"5,946",202507,치커리,"6,832",202506,   2키로상자,202505,상
"9,042",333,"5,202",202507,치커리,"5,724",202506,   2키로상자,202505,중
"6,984",334,"4,347",202507,치커리,"4,113",202506,   2키로상자,202505,하
"30,000",335,"30,000",202507,콜라비(일반),"30,000",202506,  15키로상자,202505,상
"30,000",336,"30,000",202507,콜라비(일반),"30,000",202506,  15키로상자,202505,중
